gen	sha	intent_err	shape_err	gen_err	robust_err	parsimony_pen	wall_s	tokens	usd	accepted	note	violations	split	n_tasks
0	baseline	0.405055	0.509938	0.503504	0.000000	0.000000	52.47	0	0.0	1	gen0-baseline		dev	8
1	pattern	0.392915	0.491254	0.491059	0.000000	0.000000	61.35	0	0.0	1	enable_pattern_template		dev	8
2	80a9597	0.317006	0.392519	0.399165	0.000000	0.000000	58.16	0	0.0	1	enable_boss_template		dev	8
3	7ac3cd2	0.317006	0.392519	0.399165	0.000000	0.000000	55.20	0	0.0	0	fallback_box=45.0x35.0x4.0		dev	8
4	756b47d	0.317006	0.392519	0.399165	0.000000	0.000000	55.18	0	0.0	0	fallback_box=45.0x25.0x6.0		dev	8
5	28baf94	0.317006	0.392519	0.399165	0.000000	0.000000	54.93	0	0.0	0	hole_count_radius_tol=0.5		dev	8
6	159c3a2	0.240512	0.296029	0.304227	0.000000	0.000000	55.19	0	0.0	1	enable_pocket_template		dev	8
7	53e1e0e	0.240512	0.296029	0.304227	0.000000	0.000000	55.26	0	0.0	0	enable_boss_template		dev	8
8	35ac09a	0.240512	0.296029	0.304227	0.000000	0.000000	55.05	0	0.0	0	plane_parallel_dot=0.95		dev	8
9	e18a74b	0.240512	0.296029	0.304227	0.000000	0.000000	55.16	0	0.0	0	hole_cluster_tol=0.25		dev	8
10	a2059a3	0.240512	0.296029	0.304227	0.000000	0.000000	55.29	0	0.0	0	hole_count_radius_tol=0.65		dev	8
11	7b015a2	0.240512	0.296029	0.304227	0.000000	0.000000	55.50	0	0.0	0	hole_cluster_tol=0.20		dev	8
12	c9b8a38	0.102287	0.122650	0.131909	0.000000	0.000000	69.28	0	0.0	1	enable_ribbed_template		dev	8
